Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
2,9,1,0,3,14,2,0,13,2,46,34,0,114,1,1.51,12.98,159.6,4,0.02,9.6,28,4.5,0,0,normal
4,10,0,1,2,14,2,0,3,3,49,72,1,347,3,1,14.63,151.3,5,0.04,1.3,31,2.5,0,0,normal
2,10,0,1,1,18,1,0,14,3,36,41,2,425,0,2.59,14.51,156.1,2,0.08,6.1,32,5,0,0,normal
12,12,0,1,0,21,4,0,6,2,38,36,0,189,0,5.49,13.94,159.1,1,0.11,9.1,50,1,0,0,normal
3,11,0,1,1,23,6,0,17,1,61,65,0,435,4,4.03,17.08,151.7,1,0.17,1.7,44,3.67,0,0,normal
5,6,0,0,2,19,1,0,7,2,64,30,1,468,3,1.13,12.69,153.9,11,0.12,3.9,31,1.2,0,0,normal
5,11,0,1,3,15,1,0,10,2,56,48,1,203,4,2.77,14.46,157.8,3,0.14,7.8,33,2.2,0,0,normal
5,8,0,1,5,20,0,0,5,1,37,79,1,488,3,2.87,14.11,146.5,11,0.12,-3.5,34,1.6,0,0,normal
6,10,0,2,3,14,0,0,12,2,62,79,2,449,2,1.9,12.83,160.8,10,0.06,10.8,32,1.67,0,0,normal
1,14,0,3,0,22,2,0,14,4,36,30,0,400,2,3.69,11.84,150.7,11,0.16,0.7,42,14,0,0,normal
9,11,1,1,5,17,2,0,7,2,47,57,0,134,0,2.33,13.22,156.6,0,0.12,6.6,41,1.22,0,0,normal
7,15,0,0,1,21,2,1,9,1,34,36,2,212,1,2.04,14.43,147.7,8,0.09,-2.3,45,2.14,0,0,normal
4,7,0,0,1,25,1,0,18,3,63,67,1,215,2,4.42,16.09,150.1,0,0.03,0.1,37,1.75,0,0,normal
3,6,0,1,2,11,1,0,0,5,42,90,2,212,1,2.13,12.37,159.9,2,0.16,9.9,22,2,0,0,normal
5,6,0,0,0,15,4,0,9,2,51,32,0,229,3,1.86,14.26,158.4,8,0.14,8.4,30,1.2,0,0,normal
0,9,0,0,3,23,2,0,10,6,30,88,2,134,4,3.23,16.34,139.1,10,0.04,-10.9,34,0,0,0,normal
6,10,0,1,5,20,2,0,10,3,57,82,1,173,1,2.35,15.39,147.3,10,0.1,-2.7,39,1.67,0,0,normal
3,6,0,1,1,20,3,1,13,2,39,50,1,210,3,1.27,14.6,151.9,6,0.03,1.9,33,2,0,0,normal
2,10,1,0,3,23,7,1,4,3,44,67,3,303,2,1.42,16.76,145.4,11,0.12,-4.6,43,5,0,0,normal
6,10,0,2,2,25,0,1,2,5,46,31,0,218,3,2.42,14,157.3,8,0.05,7.3,43,1.67,0,0,normal
8,12,0,1,3,30,0,0,19,5,52,59,1,465,3,1.05,14.52,156.5,5,0.17,6.5,51,1.5,0,0,normal
2,9,0,1,2,23,2,0,19,2,56,75,0,411,2,1.63,14.36,156,7,0.1,6,37,4.5,0,0,normal
5,12,1,2,3,21,0,0,4,4,51,95,1,488,1,1.72,15.67,153,8,0.1,3,41,2.4,0,0,normal
5,9,0,0,3,17,1,1,18,6,69,30,1,399,3,1.86,13.92,157.8,10,0.12,7.8,32,1.8,0,0,normal
9,14,1,1,0,26,2,0,9,4,62,89,3,451,1,3.48,12.96,156.6,6,0.15,6.6,53,1.56,0,0,normal
6,11,0,1,3,19,3,0,2,5,36,65,1,398,2,1.22,14.28,154.9,14,0.1,4.9,40,1.83,0,0,normal
4,4,1,1,1,23,2,0,9,1,48,81,0,254,3,2.02,13.48,161.1,10,0.11,11.1,35,1,0,0,normal
8,8,0,1,2,23,1,0,10,2,66,52,1,388,1,1.6,16.57,151.6,6,0.18,1.6,41,1,0,0,normal
9,10,0,1,1,17,5,0,5,1,55,32,1,434,2,1.06,13.4,159.8,2,0.04,9.8,42,1.11,0,0,normal
5,13,0,1,3,24,3,0,4,2,41,48,0,361,3,2.7,16.94,146.7,3,0.18,-3.3,46,2.6,0,0,normal
5,7,1,1,1,22,1,0,2,3,61,65,1,106,2,1.6,14.72,142.7,2,0.13,-7.3,37,1.4,0,0,normal
4,4,0,1,2,17,2,0,14,0,63,86,1,133,0,1.35,15.09,158.2,2,0.13,8.2,28,1,0,0,normal
5,7,0,0,3,18,2,0,17,2,55,44,1,146,4,2.75,13.92,148.8,1,0.18,-1.2,32,1.4,0,0,normal
8,8,0,1,1,29,3,0,2,2,56,96,2,101,2,2.39,16.6,143.2,0,0.15,-6.8,49,1,0,0,normal
7,17,0,0,1,23,2,0,6,2,42,92,2,241,2,3.87,15.33,136.9,12,0.14,-13.1,49,2.43,0,0,normal
3,18,0,0,1,14,2,0,12,8,40,84,1,342,1,1.73,14.6,145.1,8,0.13,-4.9,37,6,0,0,normal
4,15,1,0,2,14,2,0,4,3,53,77,0,313,3,2.11,13.62,152,10,0.11,2,36,3.75,0,0,normal
4,10,0,2,2,11,1,1,10,5,69,39,0,458,1,2.06,10.67,153.2,0,0.07,3.2,28,2.5,0,0,normal
4,12,0,1,3,27,1,0,0,2,54,80,1,101,2,2.95,13.22,143,14,0.07,-7,45,3,0,0,normal
3,6,1,0,2,11,1,0,0,3,46,69,3,347,2,1.74,16.36,159.3,12,0.15,9.3,22,2,0,0,normal
6,5,0,2,0,19,1,0,2,1,58,99,4,227,2,1.7,14.22,158.4,0,-0.01,8.4,33,0.83,0,0,normal
4,11,0,2,3,19,3,0,13,5,48,97,1,248,3,1.4,14.88,154.6,0,0.08,4.6,39,2.75,0,0,normal
4,9,0,0,3,23,0,0,11,5,64,91,1,259,2,2.7,17.16,155,5,0,5,36,2.25,0,0,normal
5,9,1,0,2,23,1,0,4,0,35,68,2,481,1,1.74,13.38,146,11,0.11,-4,39,1.8,0,0,normal
5,8,0,1,3,17,2,0,17,4,42,91,0,312,0,2.1,14.43,149.9,0,0.09,-0.1,33,1.6,0,0,normal
8,9,0,2,2,18,5,0,15,3,51,69,0,188,0,2.77,12.96,148.8,0,0.08,-1.2,42,1.12,0,0,normal
5,7,1,0,0,22,0,0,19,2,42,46,0,265,2,2.01,13.33,149.1,12,0.17,-0.9,35,1.4,0,0,normal
9,13,1,1,3,20,3,0,3,2,54,72,3,462,2,2.34,15.34,154.8,2,0.09,4.8,47,1.44,0,0,normal
7,10,0,0,0,15,0,0,13,4,48,48,4,186,0,1.86,14.56,153.3,4,0.01,3.3,32,1.43,0,0,normal
3,5,0,1,2,22,1,0,4,2,37,65,3,201,6,2.68,14.15,142.9,11,0.06,-7.1,32,1.67,0,0,normal
8,11,1,2,1,21,3,1,16,1,52,45,0,182,5,1.82,14.85,148.7,12,0.1,-1.3,46,1.38,0,0,normal
5,12,1,1,1,15,2,0,15,3,63,90,1,487,2,2.5,12.02,147.7,0,0.09,-2.3,36,2.4,0,0,normal
5,7,1,0,2,16,2,0,4,2,55,80,0,245,3,1.76,14.95,155.4,3,0.07,5.4,31,1.4,0,0,normal
5,10,0,1,0,19,0,0,14,0,53,76,0,136,1,3.17,12.99,140.5,13,0.1,-9.5,35,2,0,0,normal
5,11,0,2,0,16,3,0,17,3,57,74,2,412,0,1.86,13.78,159.5,1,0.06,9.5,37,2.2,0,0,normal
5,13,0,0,2,19,0,0,3,4,46,62,0,251,4,2.07,15.06,151.7,10,0.06,1.7,37,2.6,0,0,normal
3,8,0,0,1,25,3,0,16,1,39,49,2,418,2,2.27,15.6,154.6,7,0.04,4.6,39,2.67,0,0,normal
3,16,1,3,4,15,3,0,16,4,49,41,0,391,3,2.31,14.93,141.5,12,0.04,-8.5,41,5.33,0,1,normal
6,6,0,2,0,11,3,1,8,1,54,80,2,251,1,2.36,15.25,150.4,6,0.12,0.4,28,1,0,0,normal
1,14,1,2,2,16,2,1,0,5,58,50,0,274,1,1.43,15.7,160.3,10,0.13,10.3,36,14,0,0,normal
5,8,1,0,1,21,3,0,19,4,39,54,1,171,1,2.84,11.14,162,8,0.09,12,38,1.6,0,0,normal
7,20,1,2,1,15,4,0,13,7,53,90,1,490,1,3.52,18.96,141.6,5,0.12,-8.4,49,2.86,0,0,normal
4,12,1,2,2,16,2,0,16,2,40,93,0,379,4,1.44,13.78,154.4,11,0.11,4.4,37,3,0,0,normal
4,8,0,2,2,14,1,0,0,4,63,76,1,478,4,1.35,17.28,156,6,0.12,6,29,2,0,0,normal
5,16,0,0,3,25,3,0,18,2,30,44,1,290,5,4.13,13.75,158,8,0.11,8,49,3.2,0,0,normal
4,9,0,0,0,27,3,1,1,4,62,73,1,483,5,1.42,14.95,148.7,13,0.06,-1.3,43,2.25,0,0,normal
6,10,1,0,1,22,2,1,4,3,47,45,1,250,0,1.69,13.21,146.2,6,0.07,-3.8,41,1.67,0,0,normal
3,18,0,3,0,21,3,0,7,3,52,66,0,251,1,1.17,14.67,157.8,6,0.04,7.8,48,6,0,0,normal
6,8,0,0,2,26,2,0,6,1,51,41,0,230,0,1.67,13.25,158.6,6,0.08,8.6,42,1.33,0,0,normal
9,17,1,0,3,23,1,0,8,2,55,41,1,333,0,3.06,15.22,150.4,5,0.12,0.4,51,1.89,0,0,normal
5,13,1,1,1,22,2,1,13,7,39,75,1,459,2,1.11,14.81,140,14,-0.01,-10,44,2.6,0,0,normal
9,11,0,2,4,22,2,1,15,1,57,53,0,122,3,1.45,16.39,154.6,3,0.07,4.6,46,1.22,0,0,normal
7,9,0,0,3,19,1,0,1,5,45,51,1,253,2,2.77,16.58,140.3,13,0.17,-9.7,36,1.29,0,0,normal
2,11,0,1,0,21,0,0,18,2,67,55,2,151,1,2.36,14.59,151.6,1,0.12,1.6,35,5.5,0,0,normal
0,10,0,1,2,26,3,0,4,5,31,44,0,352,3,1.45,14.12,139.9,8,0.07,-10.1,40,0,0,0,normal
2,8,0,0,3,16,2,1,4,4,57,62,0,427,2,1.82,14.22,157,8,-0.01,7,28,4,0,0,normal
9,18,1,2,0,21,3,0,8,5,67,77,0,384,2,3.17,13.19,140.9,4,0.02,-9.1,54,2,0,0,normal
7,6,0,1,4,21,2,1,8,2,55,71,0,403,3,1.65,11.05,153.7,9,0.14,3.7,37,0.86,0,0,normal
2,8,1,2,0,21,1,0,2,1,47,51,2,269,2,4.1,13.12,149.2,11,0.1,-0.8,35,4,0,0,normal
1,8,1,2,1,17,1,1,8,2,49,78,1,229,3,2.71,13.01,158.5,12,0.15,8.5,30,8,0,0,normal
5,12,0,1,1,30,4,0,1,2,30,89,0,470,3,2.81,14.95,151.6,8,0.08,1.6,52,2.4,0,0,normal
3,12,0,1,1,26,4,1,2,1,58,45,1,218,6,1.06,15.23,157.5,9,0.06,7.5,46,4,0,0,normal
7,9,0,1,1,16,2,1,14,3,51,81,2,143,3,2.85,12.93,148.7,12,0.17,-1.3,35,1.29,0,0,normal
6,8,0,3,4,22,2,0,4,1,69,79,2,406,1,2.79,15.81,156.4,1,0.07,6.4,41,1.33,0,0,normal
5,6,1,3,2,23,0,0,16,3,35,66,0,154,2,3.61,14.44,156.7,14,0.11,6.7,38,1.2,0,0,normal
3,9,0,5,4,24,1,0,5,4,40,46,1,276,2,1.1,15.95,145.7,10,0.06,-4.3,42,3,0,0,normal
5,7,0,2,0,16,1,1,6,6,54,79,0,174,2,1.81,15.59,148.1,14,0.12,-1.9,31,1.4,0,0,normal
3,8,1,1,4,24,2,1,1,4,31,47,1,309,3,1.14,17.09,147.2,10,0.06,-2.8,39,2.67,0,0,normal
7,9,1,2,1,19,1,1,15,4,57,35,1,464,0,2.09,17.64,147.6,9,0.1,-2.4,39,1.29,0,0,normal
4,10,0,1,1,23,0,0,4,1,41,89,1,356,1,2.35,13.04,134.8,0,0.05,-15.2,38,2.5,0,0,normal
2,7,1,2,1,24,1,1,0,2,69,43,1,351,1,2.62,15.85,161.8,1,-0.04,11.8,37,3.5,0,0,normal
2,9,0,0,0,17,4,0,17,0,49,72,0,481,3,1.31,13.42,154.6,7,0.14,4.6,32,4.5,0,0,normal
3,10,0,1,1,27,0,0,7,3,66,43,1,275,1,2.41,15.04,150.1,14,0.09,0.1,41,3.33,0,0,normal
4,14,0,1,1,25,3,0,8,2,36,95,3,306,1,1.89,13.58,153.5,13,0.18,3.5,47,3.5,0,0,normal
4,7,0,0,4,20,3,0,9,2,46,73,3,281,2,4.33,14.32,154.5,4,0.06,4.5,34,1.75,0,0,normal
5,7,1,1,1,23,1,0,7,0,69,97,1,488,1,1.29,12.92,161.8,13,0.18,11.8,38,1.4,0,0,normal
12,8,0,1,0,16,2,0,14,1,58,47,1,427,0,2.15,13.8,154.5,12,0.12,4.5,39,0.67,0,0,normal
5,14,0,0,3,21,1,0,19,5,51,46,0,463,1,2,11.92,153.5,2,0.08,3.5,41,2.8,0,0,normal
4,4,0,1,4,21,0,1,8,2,46,88,1,175,1,2.94,15.37,143.4,0,0.13,-6.6,30,1,0,0,normal
4,10,0,2,3,20,4,0,2,3,52,97,1,435,2,2.5,16.09,161.9,14,0.09,11.9,40,2.5,0,0,normal
5,8,1,1,1,20,0,0,5,3,69,36,1,297,2,1.42,17.65,148.5,13,0.08,-1.5,35,1.6,0,0,normal
8,12,1,1,3,17,1,0,2,3,36,98,0,208,1,2,14.36,154.6,1,0.12,4.6,40,1.5,0,1,normal
1,15,0,1,2,16,1,0,11,3,30,54,3,262,3,3.14,15.06,121.3,4,0.16,-28.7,34,15,0,0,normal
7,5,0,1,0,21,1,0,17,3,49,91,1,346,6,1.57,15.75,147.9,7,0.09,-2.1,35,0.71,0,0,normal
1,10,0,2,0,24,2,0,7,2,53,64,1,424,2,2.42,13.7,149.2,7,0.07,-0.8,39,10,0,0,normal
12,14,0,0,2,18,3,0,7,2,53,79,1,206,2,3.24,14.84,147.7,3,0.14,-2.3,47,1.17,0,0,normal
5,6,1,0,1,17,0,0,11,3,41,45,2,340,2,3.42,16.25,152.3,2,0.17,2.3,29,1.2,0,0,normal
4,6,0,1,0,21,1,0,0,1,37,89,1,347,1,1.51,12.08,159.7,10,0.08,9.7,33,1.5,0,0,normal
4,10,0,0,0,16,1,0,7,2,46,36,0,475,3,3.14,15.4,135,10,0.03,-15,31,2.5,0,0,normal
7,7,1,1,1,22,1,0,4,5,31,98,2,112,2,1.45,13.14,150.8,2,0.16,0.8,39,1,0,0,normal
3,8,0,0,3,14,1,1,8,0,49,79,3,290,2,3.98,13.59,153.5,1,0.1,3.5,26,2.67,0,0,normal
9,11,1,3,5,20,3,0,0,2,37,61,0,158,2,3.85,12.03,153.5,9,0.08,3.5,47,1.22,0,0,normal
3,6,0,0,3,21,1,1,19,2,62,96,0,149,1,1.86,13.95,153.5,3,0.03,3.5,31,2,0,0,normal
5,12,0,0,2,17,3,0,11,0,59,64,1,362,4,2.47,14.6,148.4,8,0.12,-1.6,37,2.4,0,0,normal
7,6,0,1,3,15,1,0,7,5,63,85,0,132,0,2.94,14.83,139.8,7,0.06,-10.2,30,0.86,0,0,normal
4,8,0,1,1,19,4,1,7,2,50,54,1,165,5,2.04,13.59,152.5,2,0.04,2.5,36,2,0,0,normal
3,9,1,0,5,25,2,1,8,4,30,52,3,438,1,1.31,12.32,150.6,10,0.09,0.6,40,3,0,0,normal
6,7,0,0,1,24,1,0,14,5,64,45,1,161,4,2.19,13.47,154.5,6,0.13,4.5,38,1.17,0,0,normal
2,17,1,4,1,19,0,0,1,5,47,87,0,174,2,3.1,14.95,155,6,0.11,5,43,8.5,0,0,normal
4,9,0,1,0,18,1,0,4,2,45,48,1,461,4,1.35,15.35,152.6,1,0.15,2.6,33,2.25,0,0,normal
6,8,1,1,2,22,3,0,1,2,33,46,1,408,2,1.36,15.43,158.7,11,0.12,8.7,41,1.33,0,0,normal
6,7,1,2,0,15,0,0,18,2,36,48,0,423,2,1.16,13.7,156.2,12,0.05,6.2,31,1.17,0,0,normal
4,6,0,1,4,19,2,0,0,3,57,43,1,256,1,1.58,15.02,148.4,11,0.16,-1.6,32,1.5,0,0,normal
4,9,1,1,0,16,4,0,9,5,46,89,2,189,1,2.33,14.01,157.5,0,0.09,7.5,35,2.25,0,0,normal
9,9,1,1,2,15,1,0,17,3,53,97,1,495,2,1.4,15.3,158.3,9,0.07,8.3,36,1,0,0,normal
2,13,1,0,1,19,2,0,6,5,68,47,1,386,2,1.58,13.23,157.5,3,0.17,7.5,37,6.5,0,0,normal
3,16,1,1,2,22,4,1,18,6,49,92,0,478,2,3.69,15.28,158.9,13,0.13,8.9,47,5.33,0,0,normal
4,16,0,1,0,24,1,0,0,6,64,54,0,148,4,1.09,15.7,129.2,14,0.06,-20.8,46,4,0,0,normal
2,7,0,1,1,15,0,1,1,3,31,60,2,224,1,1.01,15.72,158.6,0,0.03,8.6,25,3.5,0,0,normal
3,11,0,4,3,21,2,0,18,3,66,81,1,146,3,3.21,17.5,150.6,12,0.17,0.6,41,3.67,0,0,normal
5,8,0,1,2,22,1,0,11,5,40,51,1,313,3,4.23,13.28,154.6,12,0.15,4.6,37,1.6,0,0,normal
9,17,0,1,3,16,2,0,15,1,61,86,0,286,2,2.3,13.82,156.9,14,0.09,6.9,45,1.89,0,0,normal
6,7,1,0,1,20,1,1,2,5,36,75,3,329,2,2.05,15.4,150.6,0,0.11,0.6,35,1.17,0,0,normal
9,4,0,0,3,21,3,0,7,3,56,96,0,177,3,1.34,14.76,143.6,13,0.06,-6.4,37,0.44,0,0,normal
3,9,0,2,2,22,0,1,4,2,41,54,1,271,3,1.86,17.05,153.8,12,0.11,3.8,36,3,0,0,normal
5,15,0,0,1,15,1,0,11,6,58,81,2,421,2,1.58,12.62,147.9,12,0.02,-2.1,36,3,0,0,normal
3,12,1,0,2,19,2,0,6,4,31,53,2,292,0,1.47,17.26,147.8,6,0.05,-2.2,37,4,0,1,normal
5,10,1,1,2,17,4,0,12,0,33,88,3,165,3,1.04,13.93,147.8,0,0.08,-2.2,38,2,0,0,normal
5,9,1,3,3,19,1,0,1,3,42,46,1,329,0,2.67,11.93,155,14,0.09,5,38,1.8,0,0,normal
4,9,0,0,1,20,1,1,6,0,68,73,1,261,1,2.43,16.27,154.3,4,0.16,4.3,34,2.25,0,0,normal
5,9,0,1,2,20,3,0,5,3,31,70,4,456,2,3.16,15.19,154.8,0,0.1,4.8,38,1.8,0,0,normal
4,13,0,0,0,24,3,0,10,5,47,32,2,421,3,3.05,15.38,151.3,8,0.14,1.3,44,3.25,0,0,normal
6,5,0,1,3,19,4,1,1,6,59,88,0,211,4,2.49,14.85,158.9,12,0.07,8.9,35,0.83,0,0,normal
7,11,1,0,1,16,1,0,9,3,66,85,1,398,3,1.22,15.32,149.2,10,0.18,-0.8,36,1.57,0,0,normal
4,6,0,1,2,17,3,0,19,1,49,83,1,430,1,3.35,14.11,159.2,12,0.05,9.2,31,1.5,0,0,normal
6,9,0,2,0,22,2,0,19,2,60,48,1,278,2,1.46,15.58,142.2,12,0.17,-7.8,41,1.5,0,0,normal
6,15,0,0,1,19,3,0,10,2,62,87,1,251,4,1.51,15.36,143.6,9,0.1,-6.4,43,2.5,0,0,normal
3,11,0,1,3,9,1,0,12,1,38,76,2,187,2,2.18,13.9,153.8,6,0.14,3.8,25,3.67,0,0,normal
7,11,0,4,0,10,1,0,9,0,49,66,0,370,1,2.79,14.94,156.4,6,0.08,6.4,33,1.57,0,0,normal
3,8,0,1,3,18,2,0,10,1,60,95,0,386,2,2.51,13.53,151.9,2,0.1,1.9,32,2.67,0,0,normal
4,12,0,1,3,14,1,1,2,6,39,92,0,488,0,2.59,15.41,156,8,0.12,6,32,3,0,0,normal
6,14,1,0,2,17,2,1,16,2,68,55,1,177,1,3.29,15.42,160.2,11,0.15,10.2,40,2.33,0,0,normal
4,12,0,0,2,14,1,1,11,3,38,47,0,232,1,1.46,13.86,155.4,6,0.05,5.4,31,3,0,0,normal
5,9,0,1,2,29,1,0,10,4,52,46,0,471,1,2.05,12.94,151.8,3,0.04,1.8,45,1.8,0,0,normal
5,12,0,2,1,16,0,1,15,2,34,86,1,469,1,2.6,13.64,155.6,7,0.1,5.6,35,2.4,0,0,normal
7,10,0,0,1,19,2,0,19,2,36,58,0,289,2,1.31,11.88,156.6,10,0.15,6.6,38,1.43,0,0,normal
4,11,0,3,1,24,0,0,7,6,43,59,2,435,2,1.06,15.65,154.4,10,0.09,4.4,42,2.75,0,0,normal
8,10,1,2,1,20,3,0,18,2,65,49,0,491,1,1.64,15.61,151.8,14,0.01,1.8,44,1.25,0,0,normal
3,11,0,1,4,18,5,0,9,0,45,41,0,390,2,2.3,14.84,159.1,13,0.14,9.1,38,3.67,0,0,normal
9,12,0,0,2,29,0,0,17,4,50,53,2,382,3,3.15,14.52,147.3,1,0.09,-2.7,50,1.33,0,0,normal
4,13,0,0,0,16,0,0,10,2,30,74,0,489,1,3.4,13.69,158,10,0.12,8,33,3.25,0,0,normal
7,11,0,0,2,23,1,0,13,2,58,39,3,206,4,1.2,17.31,156.1,2,0.13,6.1,42,1.57,0,0,normal
6,7,0,1,2,18,1,0,0,3,38,90,2,269,2,1.38,15.68,156.6,13,0.02,6.6,33,1.17,0,0,normal
5,9,0,1,2,17,3,0,14,0,49,62,1,342,1,3.24,11.67,158.1,5,0.02,8.1,35,1.8,0,0,normal
4,11,0,2,2,21,3,1,11,3,58,75,1,150,2,2.83,16.29,161.6,9,0.17,11.6,41,2.75,0,0,normal
3,11,0,0,3,19,3,0,16,2,58,92,0,311,1,2.8,16.64,150.3,10,0.12,0.3,36,3.67,0,0,normal
1,8,0,0,3,14,2,0,17,3,37,69,3,265,6,2.68,15.64,142.6,6,0.06,-7.4,25,8,0,0,normal
9,9,0,1,2,22,3,0,4,0,54,49,1,182,3,3.45,13.99,158.1,14,0.08,8.1,44,1,0,0,normal
7,14,1,0,2,23,1,0,19,6,63,52,1,228,1,3.3,17.38,139.2,8,0.02,-10.8,46,2,0,0,normal
3,8,0,0,1,19,1,0,6,1,66,56,1,198,1,2.01,14.72,159.6,12,0.11,9.6,31,2.67,0,0,normal
10,14,1,1,3,17,1,0,7,3,68,71,1,202,1,1.56,15.34,159.9,1,0.15,9.9,44,1.4,0,0,normal
4,6,1,1,1,20,2,0,9,2,44,86,1,389,4,2.86,15.15,153.8,14,0.08,3.8,34,1.5,0,0,normal
6,9,0,1,5,23,3,0,0,2,47,98,1,179,3,2.12,14.05,151.3,11,0.06,1.3,42,1.5,0,0,normal
6,6,1,0,3,22,2,0,12,3,63,78,2,339,3,2.26,16.32,157.1,8,0.14,7.1,37,1,0,0,normal
5,12,0,1,1,13,1,0,7,3,67,87,3,370,1,1.15,13.78,159.4,5,0.04,9.4,32,2.4,0,0,normal
3,10,1,1,0,19,2,0,9,5,67,61,4,379,2,2.24,12.9,151.4,12,0.07,1.4,36,3.33,0,0,normal
4,9,0,1,2,22,0,0,1,5,33,62,1,373,0,2.43,14.92,150.3,5,0.1,0.3,36,2.25,0,0,normal
2,12,0,0,2,26,1,0,4,3,36,85,2,144,3,2.01,12.75,137.3,12,0.11,-12.7,41,6,0,0,normal
2,11,1,1,4,12,2,0,15,3,63,53,1,308,5,1.83,15.2,155.1,9,0.12,5.1,29,5.5,0,0,normal
2,12,0,0,3,16,2,1,9,2,64,49,2,302,4,3.89,14.83,144.4,9,0.05,-5.6,32,6,0,0,normal
7,9,0,0,1,18,2,0,14,2,43,85,1,391,0,2.61,13.6,151.3,4,0.1,1.3,36,1.29,0,0,normal
9,12,0,1,3,23,5,0,19,0,49,41,3,296,3,2.35,15.33,148,0,0.08,-2,50,1.33,0,0,normal
7,7,0,0,3,24,1,0,3,3,46,30,1,224,1,1.07,13.71,150.6,4,0.05,0.6,39,1,0,0,normal
6,13,0,0,4,19,2,0,2,4,49,39,0,350,1,1.57,14.91,154.4,0,0.16,4.4,40,2.17,0,0,normal
6,9,0,1,5,22,1,0,16,4,51,83,1,426,2,1.44,14.21,125.5,9,0.14,-24.5,39,1.5,0,0,normal
5,10,0,0,3,29,2,0,1,5,62,82,0,345,2,2.92,13.85,160.7,0,0.09,10.7,46,2,0,0,normal
10,6,0,0,2,24,2,0,0,5,45,30,2,349,0,3.03,13.74,146.6,8,0.14,-3.4,42,0.6,0,0,normal
8,8,0,2,0,21,2,0,13,2,62,32,0,470,1,1.95,16.9,149.3,14,0.06,-0.7,41,1,0,0,normal
3,9,1,1,1,21,2,0,0,0,37,89,2,113,1,2.54,16.25,142.8,8,0.06,-7.2,37,3,0,0,normal
4,13,0,1,1,21,3,0,6,0,44,58,1,457,2,2.14,15.77,157.7,4,0.14,7.7,42,3.25,0,1,normal
1,10,1,1,3,26,2,1,15,2,56,64,1,181,1,3.33,13.82,157.8,4,0.13,7.8,41,10,0,0,normal
9,4,1,0,2,28,3,0,1,5,49,56,0,243,1,2.95,14.19,159,11,0.07,9,45,0.44,0,0,normal
7,10,1,1,0,19,2,0,8,1,53,64,1,330,1,2,15.1,156.7,3,0.13,6.7,40,1.43,0,0,normal
7,10,0,1,3,17,1,1,8,4,38,97,0,455,0,2.28,10.97,155,0,0.15,5,36,1.43,0,0,normal
9,16,0,1,2,24,4,0,4,1,52,55,1,315,3,2.26,13.33,152.7,10,0.03,2.7,54,1.78,0,1,normal
2,11,0,1,4,16,0,0,3,3,60,67,5,426,2,2.84,13.99,153.9,0,0.04,3.9,30,5.5,0,0,normal
5,7,1,0,4,26,3,1,2,1,30,67,3,126,1,2.2,13.32,147.6,8,0.04,-2.4,42,1.4,0,0,normal
8,4,0,1,1,20,4,1,2,1,30,51,0,273,3,1.16,16.34,143.6,4,0.08,-6.4,37,0.5,0,0,normal
1,12,1,1,3,11,2,1,8,4,55,95,0,366,1,1.81,14.1,157.7,6,0.04,7.7,28,12,0,0,normal
2,4,0,2,1,16,2,1,14,3,39,50,1,117,0,1.13,14.75,157.7,14,0.12,7.7,26,2,0,0,normal
4,16,0,0,3,14,4,0,15,2,44,63,3,338,2,1.16,12.28,155.4,13,0.06,5.4,38,4,0,0,normal
3,8,0,0,1,23,2,0,9,7,30,80,1,170,0,1.42,14.64,142.7,8,0.12,-7.3,36,2.67,0,0,normal
8,16,0,0,2,17,0,0,1,3,36,55,0,351,1,1.3,16.2,155.9,9,0.17,5.9,41,2,0,0,normal
7,8,0,2,2,23,0,0,5,2,52,49,0,465,1,1.82,15.71,138.7,10,0.07,-11.3,40,1.14,0,1,normal
3,11,0,1,1,17,3,1,5,6,47,95,0,229,0,2.19,15.22,146.7,8,0.06,-3.3,35,3.67,0,0,normal
7,10,0,1,2,20,1,0,16,3,41,31,0,369,3,1.43,15.25,150.1,9,0.1,0.1,39,1.43,0,0,normal
3,9,1,1,2,24,1,0,18,1,69,64,0,201,2,1.79,16.59,149.2,1,0.13,-0.8,39,3,0,0,normal
4,15,1,2,3,23,5,0,3,1,53,64,0,222,2,1.03,16.43,150.4,8,0.13,0.4,50,3.75,0,0,normal
2,13,1,2,0,18,0,0,4,4,62,65,0,403,3,2.65,15.21,153.6,8,0.04,3.6,36,6.5,0,0,normal
8,13,0,0,1,17,3,0,9,7,69,88,0,282,4,1.66,14.67,139.2,14,0.06,-10.8,41,1.62,0,0,normal
4,13,1,1,1,20,5,0,0,3,38,91,0,346,1,2.12,17.32,139.3,7,0.18,-10.7,44,3.25,0,0,normal
3,13,0,4,0,20,2,0,11,3,58,87,1,146,1,1.57,14.32,158.2,2,0.12,8.2,42,4.33,0,0,normal
1,6,0,0,4,18,1,0,13,6,64,70,2,443,3,1.79,13.77,157.1,12,0.09,7.1,26,6,0,0,normal
6,11,1,1,1,22,2,0,0,4,56,67,2,322,2,2.56,15.21,155.2,3,0.08,5.2,43,1.83,0,0,normal
2,18,0,1,3,14,1,1,14,2,37,54,2,202,1,2.56,12.68,156.9,13,0.1,6.9,36,9,0,0,normal
